Outcome,Contrast,Mean,SD,HDI_low,HDI_high,P(>0),Direction,HDI_excl_0
Happy,High vs Low PD | Sighted,-0.0652,0.0258,-0.107,-0.0116,0.006,Negative,Yes
Happy,High vs Low PD | Blind,-0.0789,0.0282,-0.1276,-0.0255,0.003,Negative,Yes
Happy,Blind vs Sighted | Low PD,0.0193,0.0265,-0.0317,0.0672,0.786,Positive,No
Happy,Blind vs Sighted | High PD,0.0056,0.0279,-0.0402,0.0629,0.591,Positive,No
Sad,High vs Low PD | Sighted,0.0431,0.0168,0.0146,0.0791,0.999,Positive,Yes
Sad,High vs Low PD | Blind,0.0291,0.0176,-0.0007,0.0646,0.958,Positive,No
Sad,Blind vs Sighted | Low PD,-0.0193,0.016,-0.0527,0.008,0.113,Negative,No
Sad,Blind vs Sighted | High PD,-0.0332,0.0171,-0.0669,-0.0037,0.033,Negative,Yes
Angry,High vs Low PD | Sighted,0.0353,0.0156,0.0063,0.0631,0.989,Positive,Yes
Angry,High vs Low PD | Blind,0.0219,0.0167,-0.0112,0.0502,0.892,Positive,No
Angry,Blind vs Sighted | Low PD,-0.0023,0.0154,-0.0339,0.0231,0.468,Negative,No
Angry,Blind vs Sighted | High PD,-0.0156,0.0163,-0.0472,0.0141,0.177,Negative,No
Surprised,High vs Low PD | Sighted,-0.008,0.0042,-0.0159,0.0005,0.031,Negative,No
Surprised,High vs Low PD | Blind,-0.003,0.0044,-0.0111,0.0048,0.264,Negative,No
Surprised,Blind vs Sighted | Low PD,-0.0122,0.0044,-0.0207,-0.0042,0.004,Negative,Yes
Surprised,Blind vs Sighted | High PD,-0.0072,0.0042,-0.0144,0.0005,0.04,Negative,No
Scared,High vs Low PD | Sighted,0.0056,0.0038,-0.0011,0.0132,0.94,Positive,No
Scared,High vs Low PD | Blind,0.0003,0.0037,-0.007,0.0066,0.546,Positive,No
Scared,Blind vs Sighted | Low PD,-0.0045,0.0037,-0.0111,0.0027,0.115,Negative,No
Scared,Blind vs Sighted | High PD,-0.0098,0.0037,-0.0173,-0.0033,0.006,Negative,Yes
Disgusted,High vs Low PD | Sighted,0.0136,0.0081,-0.0008,0.0291,0.956,Positive,No
Disgusted,High vs Low PD | Blind,0.0043,0.0089,-0.0137,0.0202,0.695,Positive,No
Disgusted,Blind vs Sighted | Low PD,0.0045,0.0081,-0.0092,0.0207,0.716,Positive,No
Disgusted,Blind vs Sighted | High PD,-0.0047,0.0082,-0.0196,0.0103,0.263,Negative,No
Valence,High vs Low PD | Sighted,-0.1344,0.0352,-0.2005,-0.067,0.0,Negative,Yes
Valence,High vs Low PD | Blind,-0.1235,0.0382,-0.1917,-0.0541,0.0,Negative,Yes
Valence,Blind vs Sighted | Low PD,0.0373,0.0363,-0.0388,0.0981,0.853,Positive,No
Valence,Blind vs Sighted | High PD,0.0482,0.0386,-0.0213,0.1182,0.894,Positive,No
Arousal,High vs Low PD | Sighted,-0.0142,0.0159,-0.0428,0.0174,0.185,Negative,No
Arousal,High vs Low PD | Blind,-0.0195,0.0166,-0.0505,0.0118,0.129,Negative,No
Arousal,Blind vs Sighted | Low PD,0.0327,0.0154,0.0054,0.0621,0.991,Positive,Yes
Arousal,Blind vs Sighted | High PD,0.0274,0.0161,0.0018,0.0625,0.963,Positive,Yes
